S.No,District,Total Positive Cases as on 02.03.2021,Discharged Cases as on 02.03.2021,Active Cases as on 02.03.2021,Death Cases as on 02.03.2021
1,Ariyalur,4742,4679,14,49
2,Chengalpattu,52852,51758,312,782
3,Chennai,235888,229961,1771,4156
4,Coimbatore,55838,54776,379,683
5,Cuddalore,25184,24841,55,288
6,Dharmapuri,6658,6591,12,55
7,Dindigul,11498,11238,60,200
8,Erode,14815,14571,94,150
9,Kallakurichi,10908,10796,4,108
10,Kancheepuram,29568,29042,78,448
11,Kanniyakumari,17098,16789,48,261
12,Karur,5508,5438,19,51
13,Krishnagiri,8172,8026,28,118
14,Madurai,21263,20743,60,460
15,Nagapattinam,8613,8446,34,133
16,Namakkal,11813,11676,26,111
17,Nilgiris,8365,8258,59,48
18,Perambalur,2285,2261,3,21
19,Pudukkottai,11662,11483,22,157
20,Ramanathapuram,6477,6327,13,137
21,Ranipet,16245,16038,18,189
22,Salem,32765,32227,71,467
23,Sivaganga,6796,6628,42,126
24,Tenkasi,8556,8354,43,159
25,Thanjavur,18145,17761,128,256
26,Theni,17165,16942,16,207
27,Thoothukudi,16361,16198,20,143
28,Tiruchirappalli,14996,14761,52,183
29,Tirunelveli,15743,15481,48,214
30,Tirupathur,7636,7503,7,126
31,Tiruppur,18376,18036,116,224
32,Tiruvallur,44258,43389,170,699
33,Tiruvannamalai,19501,19188,29,284
34,Tiruvarur,11364,11215,38,111
35,Vellore,21002,20596,55,351
36,Villupuram,15272,15136,23,113
37,Virudhunagar,16669,16421,16,232
38,Airport Surveillance (International),950,939,10,1
39,Airport Surveillance (Domestic),1043,1038,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,852478,835979,3997,12502
