S.No,District,Total Positive Cases as on 27.03.2021,Discharged Cases as on 27.03.2021,Active Cases as on 27.03.2021,Death Cases as on 27.03.2021
1,Ariyalur,4807,4718,40,49
2,Chengalpattu,55369,53306,1254,809
3,Chennai,245483,236472,4785,4226
4,Coimbatore,58077,56296,1092,689
5,Cuddalore,25522,25048,185,289
6,Dharmapuri,6752,6640,57,55
7,Dindigul,11789,11466,123,200
8,Erode,15222,14912,160,150
9,Kallakurichi,10936,10811,17,108
10,Kancheepuram,30288,29435,398,455
11,Kanniyakumari,17418,17007,149,262
12,Karur,5614,5512,51,51
13,Krishnagiri,8375,8142,114,119
14,Madurai,21661,20970,227,464
15,Nagapattinam,8951,8629,185,137
16,Namakkal,12039,11807,121,111
17,Nilgiris,8600,8435,115,50
18,Perambalur,2303,2275,7,21
19,Pudukkottai,11808,11591,57,160
20,Ramanathapuram,6532,6364,31,137
21,Ranipet,16401,16110,101,190
22,Salem,33298,32553,277,468
23,Sivaganga,6940,6729,84,127
24,Tenkasi,8674,8439,74,161
25,Thanjavur,19281,18519,496,266
26,Theni,17263,17008,48,207
27,Thoothukudi,16499,16279,77,143
28,Tiruchirappalli,15402,15028,190,184
29,Tirunelveli,15991,15648,128,215
30,Tirupathur,7761,7552,82,127
31,Tiruppur,19105,18587,294,224
32,Tiruvallur,45609,44378,525,706
33,Tiruvannamalai,19636,19296,55,285
34,Tiruvarur,11805,11430,262,113
35,Vellore,21376,20870,152,354
36,Villupuram,15424,15228,83,113
37,Virudhunagar,16819,16540,47,232
38,Airport Surveillance (International),971,961,9,1
39,Airport Surveillance (Domestic),1050,1044,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,877279,852463,12157,12659
