S.No,District,Total Positive Cases as on 29.03.2021,Discharged Cases as on 29.03.2021,Active Cases as on 29.03.2021,Death Cases as on 29.03.2021
1,Ariyalur,4812,4722,41,49
2,Chengalpattu,55796,53568,1415,813
3,Chennai,247148,237375,5541,4232
4,Coimbatore,58471,56490,1290,691
5,Cuddalore,25618,25093,235,290
6,Dharmapuri,6767,6656,56,55
7,Dindigul,11833,11490,143,200
8,Erode,15291,14955,186,150
9,Kallakurichi,10943,10816,19,108
10,Kancheepuram,30420,29536,429,455
11,Kanniyakumari,17453,17036,154,263
12,Karur,5629,5530,47,52
13,Krishnagiri,8421,8176,126,119
14,Madurai,21729,21012,252,465
15,Nagapattinam,9061,8661,262,138
16,Namakkal,12075,11826,138,111
17,Nilgiris,8635,8456,129,50
18,Perambalur,2305,2279,5,21
19,Pudukkottai,11838,11607,71,160
20,Ramanathapuram,6543,6372,34,137
21,Ranipet,16444,16131,123,190
22,Salem,33397,32636,293,468
23,Sivaganga,6962,6744,91,127
24,Tenkasi,8690,8448,81,161
25,Thanjavur,19518,18684,567,267
26,Theni,17280,17018,55,207
27,Thoothukudi,16530,16291,96,143
28,Tiruchirappalli,15511,15070,257,184
29,Tirunelveli,16024,15679,130,215
30,Tirupathur,7789,7566,95,128
31,Tiruppur,19216,18656,334,226
32,Tiruvallur,45843,44559,575,709
33,Tiruvannamalai,19661,19307,69,285
34,Tiruvarur,11914,11483,317,114
35,Vellore,21419,20896,169,354
36,Villupuram,15471,15254,104,113
37,Virudhunagar,16844,16569,43,232
38,Airport Surveillance (International),972,964,7,1
39,Airport Surveillance (Domestic),1051,1046,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,881752,855085,13983,12684
