S.No,District,Total Positive Cases as on 31.03.2021,Discharged Cases as on 31.03.2021,Active Cases as on 31.03.2021,Death Cases as on 31.03.2021
1,Ariyalur,4814,4729,36,49
2,Chengalpattu,56330,53822,1690,818
3,Chennai,248965,238467,6255,4243
4,Coimbatore,58960,56715,1551,694
5,Cuddalore,25706,25132,283,291
6,Dharmapuri,6781,6670,56,55
7,Dindigul,11880,11526,152,202
8,Erode,15352,15011,191,150
9,Kallakurichi,10951,10818,25,108
10,Kancheepuram,30584,29652,475,457
11,Kanniyakumari,17537,17076,198,263
12,Karur,5650,5541,57,52
13,Krishnagiri,8468,8204,145,119
14,Madurai,21814,21048,301,465
15,Nagapattinam,9164,8696,327,141
16,Namakkal,12111,11853,147,111
17,Nilgiris,8666,8484,132,50
18,Perambalur,2307,2280,6,21
19,Pudukkottai,11874,11619,95,160
20,Ramanathapuram,6554,6379,38,137
21,Ranipet,16475,16149,136,190
22,Salem,33488,32716,304,468
23,Sivaganga,6998,6764,107,127
24,Tenkasi,8717,8467,89,161
25,Thanjavur,19741,18889,581,271
26,Theni,17299,17039,53,207
27,Thoothukudi,16554,16304,107,143
28,Tiruchirappalli,15615,15099,331,185
29,Tirunelveli,16092,15716,161,215
30,Tirupathur,7806,7594,84,128
31,Tiruppur,19324,18733,365,226
32,Tiruvallur,46060,44742,607,711
33,Tiruvannamalai,19692,19329,78,285
34,Tiruvarur,12014,11550,349,115
35,Vellore,21490,20939,197,354
36,Villupuram,15507,15288,106,113
37,Virudhunagar,16875,16595,48,232
38,Airport Surveillance (International),974,966,7,1
39,Airport Surveillance (Domestic),1056,1046,9,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,886673,858075,15879,12719
