S.No,District,Total Positive Cases as on 15.03.2021,Discharged Cases as on 15.03.2021,Active Cases as on 15.03.2021,Death Cases as on 15.03.2021
1,Ariyalur,4756,4700,7,49
2,Chengalpattu,53673,52451,428,794
3,Chennai,239131,232929,2023,4179
4,Coimbatore,56543,55436,421,686
5,Cuddalore,25286,24939,59,288
6,Dharmapuri,6675,6609,11,55
7,Dindigul,11602,11334,68,200
8,Erode,14994,14723,121,150
9,Kallakurichi,10916,10803,5,108
10,Kancheepuram,29755,29151,155,449
11,Kanniyakumari,17221,16876,84,261
12,Karur,5538,5466,21,51
13,Krishnagiri,8226,8073,35,118
14,Madurai,21376,20836,78,462
15,Nagapattinam,8709,8506,67,136
16,Namakkal,11883,11724,48,111
17,Nilgiris,8451,8341,61,49
18,Perambalur,2296,2266,9,21
19,Pudukkottai,11715,11527,31,157
20,Ramanathapuram,6496,6348,11,137
21,Ranipet,16276,16068,19,189
22,Salem,32908,32353,88,467
23,Sivaganga,6841,6677,38,126
24,Tenkasi,8585,8412,13,160
25,Thanjavur,18445,17973,216,256
26,Theni,17202,16971,24,207
27,Thoothukudi,16395,16229,23,143
28,Tiruchirappalli,15148,14854,111,183
29,Tirunelveli,15822,15549,59,214
30,Tirupathur,7666,7519,20,127
31,Tiruppur,18683,18260,199,224
32,Tiruvallur,44687,43684,302,701
33,Tiruvannamalai,19551,19241,26,284
34,Tiruvarur,11487,11282,94,111
35,Vellore,21150,20703,96,351
36,Villupuram,15310,15170,27,113
37,Virudhunagar,16730,16455,43,232
38,Airport Surveillance (International),962,953,8,1
39,Airport Surveillance (Domestic),1044,1043,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,860562,842862,5149,12551
