S.No,District,Total Positive Cases as on 12.03.2021,Discharged Cases as on 12.03.2021,Active Cases as on 12.03.2021,Death Cases as on 12.03.2021
1,Ariyalur,4753,4697,7,49
2,Chengalpattu,53450,52292,369,789
3,Chennai,238288,232151,1961,4176
4,Coimbatore,56349,55297,367,685
5,Cuddalore,25260,24917,55,288
6,Dharmapuri,6672,6604,13,55
7,Dindigul,11573,11316,57,200
8,Erode,14939,14696,93,150
9,Kallakurichi,10916,10802,6,108
10,Kancheepuram,29686,29128,109,449
11,Kanniyakumari,17184,16858,65,261
12,Karur,5527,5462,14,51
13,Krishnagiri,8207,8067,22,118
14,Madurai,21334,20812,61,461
15,Nagapattinam,8681,8496,50,135
16,Namakkal,11865,11715,39,111
17,Nilgiris,8416,8326,42,48
18,Perambalur,2291,2263,7,21
19,Pudukkottai,11700,11515,28,157
20,Ramanathapuram,6492,6345,10,137
21,Ranipet,16270,16062,19,189
22,Salem,32879,32320,92,467
23,Sivaganga,6822,6672,24,126
24,Tenkasi,8582,8404,18,160
25,Thanjavur,18325,17920,149,256
26,Theni,17192,16965,20,207
27,Thoothukudi,16381,16224,14,143
28,Tiruchirappalli,15102,14831,88,183
29,Tirunelveli,15799,15541,44,214
30,Tirupathur,7657,7516,14,127
31,Tiruppur,18590,18216,150,224
32,Tiruvallur,44554,43612,241,701
33,Tiruvannamalai,19542,19235,23,284
34,Tiruvarur,11446,11269,66,111
35,Vellore,21112,20671,90,351
36,Villupuram,15301,15165,23,113
37,Virudhunagar,16704,16446,26,232
38,Airport Surveillance (International),959,951,7,1
39,Airport Surveillance (Domestic),1044,1043,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,858272,841250,4483,12539
