S.No,District,Total Positive Cases as on 30.03.2021,Discharged Cases as on 30.03.2021,Active Cases as on 30.03.2021,Death Cases as on 30.03.2021
1,Ariyalur,4812,4724,39,49
2,Chengalpattu,56073,53692,1566,815
3,Chennai,248031,237900,5895,4236
4,Coimbatore,58679,56599,1387,693
5,Cuddalore,25655,25112,253,290
6,Dharmapuri,6773,6662,56,55
7,Dindigul,11856,11507,148,201
8,Erode,15316,14986,180,150
9,Kallakurichi,10946,10817,21,108
10,Kancheepuram,30483,29596,430,457
11,Kanniyakumari,17507,17054,190,263
12,Karur,5639,5535,52,52
13,Krishnagiri,8441,8193,129,119
14,Madurai,21778,21027,286,465
15,Nagapattinam,9122,8677,306,139
16,Namakkal,12093,11840,142,111
17,Nilgiris,8648,8468,130,50
18,Perambalur,2305,2280,4,21
19,Pudukkottai,11852,11612,80,160
20,Ramanathapuram,6550,6375,38,137
21,Ranipet,16453,16141,122,190
22,Salem,33436,32670,298,468
23,Sivaganga,6983,6755,101,127
24,Tenkasi,8699,8459,79,161
25,Thanjavur,19636,18792,574,270
26,Theni,17291,17031,53,207
27,Thoothukudi,16538,16298,97,143
28,Tiruchirappalli,15558,15088,286,184
29,Tirunelveli,16058,15695,148,215
30,Tirupathur,7799,7582,89,128
31,Tiruppur,19269,18692,351,226
32,Tiruvallur,45920,44637,573,710
33,Tiruvannamalai,19674,19317,72,285
34,Tiruvarur,11966,11519,333,114
35,Vellore,21455,20918,183,354
36,Villupuram,15485,15271,101,113
37,Virudhunagar,16862,16587,43,232
38,Airport Surveillance (International),974,966,7,1
39,Airport Surveillance (Domestic),1051,1046,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,884094,856548,14846,12700
